unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
CLV10_EUR_HAB,B1GQ,RO	:	:	4250 	4370 	4860	5120 	5560 	6050 	6730 	6410 	6190 	6350 	6510 	6760 	7020 	7320 	7720 	8320 	8740	9130
CLV10_EUR_HAB,B1GQ,RS	2650 	2840 	3020 	3160 	3460 	3660 	3860 	4130 	4380 	4280 	4330 	4450 	4440 	4590 	4540 	4640 	4820 	4950 	5190 	5430
CLV10_EUR_HAB,B1GQ,SE	33780 	34180 	34820 	35470 	36860 	37770 	39290 	40340 	39930 	37910 	39920 	40820 	40270 	40360 	41060 	42430 	42910 	43350 	43810 	43900 
CLV10_EUR_HAB,B1GQ,SI	13980 	14410 	14900 	15330 	15990 	16570 	17460 	18570 	19190	17570 	17750 	17870 	17360 	17160 	17620 	17990 	18540 	19430 	20170 	20490 
CLV10_EUR_HAB,B1GQ,SK	7780 	8060 	8420 	8890 	9350 	9960 	10800 	11960 	12600 	11890 	12540 	12980 	13200 	13270 	13620 	14270 	14550 	14970 	15560 	15890 
CLV10_EUR_HAB,B1GQ,UK	26920 	27610 	28130 	28920 	29460 	30160 	30790 	31280 	30940 	29420 	29750 	29960 	30200 	30660 	31220 	31700 	32050 	32460 	32700 	32960 
CLV_PCH_PRE_HAB,B1GQ,AT	3.1 	0.9 	1.2 	0.5 	2.1 	1.5 	2.9 	3.4 	1.1 	-4.0 	1.6 	2.6 	0.2 	-0.6 	-0.1 	0.0 	0.8 	1.8 	1.9 	1.2 
CLV_PCH_PRE_HAB,B1GQ,BE	3.5 	0.7 	1.3 	0.6 	3.1 	1.8 	1.9 	2.9 	-0.3 	-2.8 	1.9 	0.4 	0.1 	0.0 	1.1 	1.4 	1.0 	1.6 	1.0 	0.9 
CLV_PCH_PRE_HAB,B1GQ,BG	5.3 	7.2 	6.6 	5.8 	7.0 	7.7 	7.4 	7.1 	6.6 	-2.9 	1.2 	4.9 	0.9 	0.9 	2.5 	4.7 	4.5 	4.3 	3.8 	3.9
CLV_PCH_PRE_HAB,B1GQ,CH	3.4 	0.9 	-0.6 	-0.7 	2.1 	2.5 	3.4 	3.2 	0.9 	-3.4 	1.9 	1.0 	-0.1 	0.7 	1.2 	0.2 	0.6 	0.9 	2.0 	0.2
CLV_PCH_PRE_HAB,B1GQ,CY	4.9 	2.8 	2.5 	1.4 	3.6 	3.4 	3.0 	2.9 	1.1 	-4.6 	-0.6 	-2.1 	-4.9 	-6.3 	-0.8 	4.0 	6.3 	3.4 	2.8	2.0
CLV_PCH_PRE_HAB,B1GQ,CZ	4.4 	3.4 	1.9 	3.6 	4.9 	6.3 	6.5 	5.0 	1.6 	-5.4 	2.0 	2.0 	-0.9 	-0.5 	2.6 	5.1 	2.2 	4.1 	2.5 	2.2 
CLV_PCH_PRE_HAB,B1GQ,DE	2.9 	1.6 	-0.3 	-0.7 	1.3 	0.9 	4.0 	3.2 	1.2 	-5.4 	4.4 	3.9 	0.2 	0.2 	1.8 	0.9 	1.4 	2.1 	1.2 	0.3 
CLV_PCH_PRE_HAB,B1GQ,DK	3.4 	0.5 	0.1 	0.1 	2.4 	2.0 	3.6 	0.5 	-1.1 	-5.4 	1.4 	0.9 	-0.1 	0.5 	1.1 	1.6 	2.4 	1.4 	1.9 	1.9 
