indic_de,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
JAN,HU	10045401 	10030975 	10014324 	9985722 	9931925	9908798 	9877365 	9855571 	9830485 	9797561 	9778371 	9772756 
JAN,IE	4457765 	4521322 	4549428 	4570881 	4589287 	4609779 	4637852 	4677627 	4726286 	4784383 	4830392 	4904240
JAN,IS	315459 	319368 	317630 	318452 	319575 	321857 	325671 	329100 	332529 	338349 	348450 	356991 
JAN,IT	58652875 	59000586 	59190143 	59364690 	59394207 	59685227 	60782668 	60795612 	60665551 	60589445 	60483973 	60359546 
JAN,LI	35356 	35589 	35894 	36149 	36475 	36838 	37129 	37366 	37622 	37810 	38114 	38378 
JAN,LT	3212605 	3183856 	3141976 	3052588 	3003641 	2971905 	2943472 	2921262 	2888558 	2847904 	2808901 	2794184 
JAN,LU	483799 	493500 	502066 	511840 	524853	537039 	549680 	562958 	576249 	590667	602005 	613894 
JAN,LV	2191810 	2162834 	2120504 	2074605 	2044813 	2023825 	2001468 	1986096 	1968957 	1950116 	1934379 	1919968 
JAN,MC	: 	: 	: 	: 	: 	: 	: 	37700	38200 	: 	38300 	38300
JAN,MD	3572703 	3567512 	3563695 	3560430 	3559541 	3559497 	3557634 	3555159 	3553056 	3550852 	3547539 	: 
JAN,ME	615543 	617157 	619001 	619850 	620308 	620893 	621521 	622099 	622218 	622387 	622359 	622182 
JAN,MK	2045177 	2048619 	2052722 	2057284 	2059794 	2062294 	2065769 	2069172 	2071278 	2073702 	2075301 	2077132 
JAN,MT	407832 	410926 	414027 	414989 	417546 	422509 	429424 	439691 	450415 	460297 	475701 	493559 
JAN,NL	16405399 	16485787 	16574989 	16655799 	16730348 	16779575 	16829289 	16900726 	16979120 	17081507 	17181084 	17282163 
JAN,NO	4737171 	4799252 	4858199 	4920305 	4985870 	5051275 	5107970 	5166493 	5210721 	5258317 	5295619 	5328212 
JAN,PL	38115641 	38135876 	38022869	38062718 	38063792 	38062535 	38017856 	38005614 	37967209 	37972964 	37976687 	37972812 
JAN,PT	10553339 	10563014 	10573479 	10572721 	10542398 	10487289 	10427301 	10374822 	10341330 	10309573 	10291027 	10276617 
JAN,RO	20635460 	20440290 	20294683 	20199059 	20095996 	20020074 	19947311 	19870647 	19760585 	19643949 	19530631 	19414458 
JAN,RS	7365507 	7334937 	7306677 	7251549	7216649 	7181505 	7146759 	7114393 	7076372 	7040272 	7001444 	6963764 
JAN,RU	142008838 	141903979 	141914509 	142856536 	143056383 	: 	143666931 	: 	: 	: 	: 	: 
JAN,SE	9182927 	9256347 	9340682 	9415570 	9482855 	9555893 	9644864 	9747355 	9851017 	9995153 	10120242 	10230185 
JAN,SI	2010269	2032362 	2046976 	2050189 	2055496 	2058821 	2061085 	2062874 	2064188 	2065895 	2066880 	2080908 
JAN,SK	5376064 	5382401 	5390410 	5392446 	5404322 	5410836 	5415949 	5421349 	5426252 	5435343 	5443120 	5450421 
JAN,SM	32054 	31269 	: 	31863 	33376 	33562 	32520 	32789 	33005 	33196 	34453 	34590 
JAN,TR	70586256 	71517100 	72561312 	73722988 	74724269 	75627384 	76667864 	77695904 	78741053 	79814871 	80810525 	82003882 
JAN,UA	46192309 	45963359 	45782592 	45598179 	45453282 	45372692 	45245894 	42759661	42590879 	42414905 	42216766 	41983564 
JAN,UK	61571647 	62042343 	62510197 	63022532 	63495088 	63905342 	64351203 	64853393 	65379044 	65844142 	66273576 	66647112 
JAN,XK	2153139 	2180686 	2208107 	1794180	1780021	1815606	1820631	1804944	1771604	1783531	1798506	1795666 
